route,file,title,h1,meta_description,canonical,internal_links,faq_questions,schema_types,enquiry_ctas
/cities/delhi/connaught-place-home-tuition,cities/delhi/connaught-place-home-tuition.html,Home Tuition in Connaught Place | Verified Tutors Delhi,Home Tuition in Connaught Place for Students and Lifelong Learners,"Find verified home tutors in Connaught Place and Central Delhi for Classes 1–12, subjects, boards and exams with flexible online alternatives.",https://www.tutorservices.in/cities/delhi/connaught-place-home-tuition,43,10,Organization|EducationalOrganization|ImageObject|Person|PostalAddress|Place|WebPage|BreadcrumbList|ListItem|Service|ServiceChannel|FAQPage|Question|Answer,8
/cities/delhi/dwarka-home-tuition,cities/delhi/dwarka-home-tuition.html,Verified Home Tuition in Dwarka | TutorServices India,Home Tuition in Dwarka for Personalised School and Exam Learning,"Find verified home tutors in Dwarka for Classes 1–12, boards, subjects and exams through sector-aware matching with flexible online options.",https://www.tutorservices.in/cities/delhi/dwarka-home-tuition,38,10,Organization|EducationalOrganization|ImageObject|Person|PostalAddress|Place|WebPage|BreadcrumbList|ListItem|Service|ServiceChannel|FAQPage|Question|Answer,8
/cities/delhi/rohini-home-tuition,cities/delhi/rohini-home-tuition.html,Verified Home Tuition in Rohini | TutorServices India,Home Tuition in Rohini for Stronger Concepts and Study Habits,"Find verified home tutors in Rohini for Classes 1–12, boards, subjects and exams through personalised matching with flexible online options.",https://www.tutorservices.in/cities/delhi/rohini-home-tuition,40,10,Organization|EducationalOrganization|ImageObject|Person|PostalAddress|Place|WebPage|BreadcrumbList|ListItem|Service|ServiceChannel|FAQPage|Question|Answer,6
/cities/delhi/south-delhi-home-tuition,cities/delhi/south-delhi-home-tuition.html,Verified Home Tuition in South Delhi | TutorServices India,"Home Tuition in South Delhi for Focused, Flexible Learning","Find verified home tutors in South Delhi for Classes 1–12, boards, subjects and exams through personalised matching and flexible online options.",https://www.tutorservices.in/cities/delhi/south-delhi-home-tuition,44,10,Organization|EducationalOrganization|ImageObject|Person|PostalAddress|AdministrativeArea|WebPage|BreadcrumbList|ListItem|Service|Place|ServiceChannel|FAQPage|Question|Answer,8
/cities/faridabad,cities/faridabad.html,Home Tuition in Faridabad | Private Tutors Near You,Home Tuition in Faridabad for Personalised Academic Support,"Request home tuition in Faridabad for school students, subjects and boards. Compare local home tutors and online tuition through TutorServices.",https://www.tutorservices.in/cities/faridabad,26,8,WebPage|BreadcrumbList|ListItem|Service|Country|City|EducationalAudience|FAQPage|Question|Answer,8
/cities/ghaziabad,cities/ghaziabad.html,Home Tuition in Ghaziabad | Tutors for Class 1-12,Home Tuition in Ghaziabad for Personalised Academic Support,"Find home tuition in Ghaziabad with tutors matched for school classes, subjects and boards. Availability depends on locality, timing and tutor fit.",https://www.tutorservices.in/cities/ghaziabad,26,8,WebPage|BreadcrumbList|ListItem|Service|Country|City|EducationalAudience|FAQPage|Question|Answer,8
/cities/gurugram,cities/gurugram.html,Home Tuition in Gurugram | Home Tutors in Gurgaon,Home Tuition in Gurugram for Personalised Academic Support,"Find home tuition in Gurugram with tutors matched by class, subject, board, locality and schedule. Online tuition is also available across India.",https://www.tutorservices.in/cities/gurugram,26,8,WebPage|BreadcrumbList|ListItem|Service|Country|City|EducationalAudience|FAQPage|Question|Answer,8
/cities/noida,cities/noida.html,Home Tuition in Noida | Personal Tutors by Sector,Home Tuition in Noida for Personalised Academic Support,"Request home tuition in Noida for Class 1 to 12, school subjects and major boards. Tutor matching depends on sector, schedule and availability.",https://www.tutorservices.in/cities/noida,26,8,WebPage|BreadcrumbList|ListItem|Service|Country|City|EducationalAudience|FAQPage|Question|Answer,8
/class-10-board-exam-preparation,class-10-board-exam-preparation.html,Class 10 Board Exam Preparation Plan | TutorServices,Class 10 Board Exam Preparation Plan,"Follow a practical Class 10 board exam plan covering syllabus mapping, weekly targets, revision cycles, answer writing and sample-paper practice.",https://www.tutorservices.in/class-10-board-exam-preparation,17,2,Organization|LocalBusiness|EducationalOrganization|ImageObject|Person|PostalAddress|Country|City|ContactPoint|WebSite|WebPage|BreadcrumbList|ListItem|Article|FAQPage|Question|Answer,4
/classes,classes.html,Tuition for Class 1 to 12 in India | TutorServices,"Tuition for Class 1 to 12 in India, Matched to Every Learning Stage","Find tuition for Class 1 to 12 in India with personalised home or online tutors matched by class, board, subjects, learning stage and academic goals.",https://www.tutorservices.in/classes,39,10,CollectionPage|BreadcrumbList|ListItem|Service|Country|EducationalAudience|ItemList|FAQPage|Question|Answer,7
/classes/class-1-to-5-tuition,classes/class-1-to-5-tuition.html,Tuition for Class 1 to 5 | Primary Tutors | TutorServices,"Tuition for Class 1 to 5 That Builds Skills, Curiosity and Confidence","Find tuition for Class 1 to 5 with child-friendly home or online tutors for primary Maths, English, EVS, Hindi, homework and strong learning habits.",https://www.tutorservices.in/classes/class-1-to-5-tuition,24,10,WebPage|BreadcrumbList|ListItem|Service|Country|EducationalAudience|Offer|FAQPage|Question|Answer,6
/classes/class-10-tuition,classes/class-10-tuition.html,Class 10 Tuition | Expert Home & Online Tutors India,"Class 10 Tuition for Concept Mastery, Consistent Revision and Board Exam Confidence","Find Class 10 tuition with verified home or online tutors for complete academic support, concept clarity, revision and confident board-year progress.",https://www.tutorservices.in/classes/class-10-tuition,30,10,WebPage|BreadcrumbList|ListItem|Service|Country|EducationalAudience|Offer|FAQPage|Question|Answer,6
/classes/class-11-tuition,classes/class-11-tuition.html,Class 11 Tuition | Stream-Specific Tutors in India,"Class 11 Tuition for Stream-Specific Learning, Deeper Concepts and Future Readiness","Find Class 11 tuition with verified home or online tutors for Science, Commerce and Humanities subjects, concept building and senior-secondary success.",https://www.tutorservices.in/classes/class-11-tuition,33,10,WebPage|BreadcrumbList|ListItem|Service|Country|EducationalAudience|Offer|FAQPage|Question|Answer,6
/classes/class-12-tuition,classes/class-12-tuition.html,Class 12 Tuition | Board & Entrance Exam Support India,"Class 12 Tuition for Academic Excellence, Board Confidence and Higher-Education Goals","Find Class 12 tuition with verified home or online tutors for Science, Commerce and Humanities, board success, admissions and entrance preparation.",https://www.tutorservices.in/classes/class-12-tuition,33,10,WebPage|BreadcrumbList|ListItem|Service|Country|EducationalAudience|Offer|FAQPage|Question|Answer,6
/classes/class-6-to-8-tuition,classes/class-6-to-8-tuition.html,Tuition for Class 6 to 8 | Middle School Tutors India,"Tuition for Class 6 to 8 That Builds Clarity, Confidence and Independent Thinking","Find tuition for Class 6 to 8 with verified home or online tutors for Maths, Science, English and concept-focused middle-school learning across India.",https://www.tutorservices.in/classes/class-6-to-8-tuition,26,10,WebPage|BreadcrumbList|ListItem|Service|Country|EducationalAudience|Offer|FAQPage|Question|Answer,6
/classes/class-9-tuition,classes/class-9-tuition.html,Class 9 Tuition | Expert Home & Online Tutors India,"Class 9 Tuition for Stronger Concepts, Better Performance and Class 10 Readiness","Find Class 9 tuition with verified home or online tutors for Maths, Science, English and board-aligned concept preparation before the Class 10 year.",https://www.tutorservices.in/classes/class-9-tuition,29,10,WebPage|BreadcrumbList|ListItem|Service|Country|EducationalAudience|Offer|FAQPage|Question|Answer,6
/competitive-exams,competitive-exams.html,Competitive Exam Coaching in India | TutorServices,Competitive Exam Coaching Built Around the Student’s Target,"Find competitive exam coaching for JEE, NEET, CUET and Olympiads with verified tutors, personalised study plans, regular tests and progress tracking.",https://www.tutorservices.in/competitive-exams,30,10,CollectionPage|BreadcrumbList|ListItem|Service|Country|EducationalAudience|ItemList|FAQPage|Question|Answer,6
/competitive-exams/cuet-preparation,competitive-exams/cuet-preparation.html,CUET Preparation Classes and Tutors | TutorServices,CUET Preparation Classes Built Around Your University Goals,"Prepare for CUET with personalised subject support, concept revision, practice questions, mock tests and study planning through verified TutorServices tutors.",https://www.tutorservices.in/competitive-exams/cuet-preparation,30,10,WebPage|BreadcrumbList|ListItem|Service|Country|EducationalAudience|ServiceChannel|Place|FAQPage|Question|Answer,5
/competitive-exams/jee-foundation,competitive-exams/jee-foundation.html,JEE Foundation Classes for Students | TutorServices,JEE Foundation Classes for Stronger Maths and Science Thinking,"Build strong Maths, Physics and Chemistry concepts with personalised JEE Foundation classes for Class 8, 9 and 10 students through verified tutors.",https://www.tutorservices.in/competitive-exams/jee-foundation,29,10,WebPage|BreadcrumbList|ListItem|Service|Country|EducationalAudience|ServiceChannel|Place|FAQPage|Question|Answer,5
/competitive-exams/neet-foundation,competitive-exams/neet-foundation.html,NEET Foundation Classes for Students | TutorServices,NEET Foundation Classes for Stronger Biology and Science Concepts,"Build strong Biology, Physics and Chemistry concepts with personalised NEET Foundation classes for Class 8, 9 and 10 students through verified tutors.",https://www.tutorservices.in/competitive-exams/neet-foundation,29,10,WebPage|BreadcrumbList|ListItem|Service|Country|EducationalAudience|ServiceChannel|Place|FAQPage|Question|Answer,5
/competitive-exams/olympiad-preparation,competitive-exams/olympiad-preparation.html,Olympiad Preparation Classes for Students | TutorServices,Olympiad Preparation Classes for Curious School Students,"Build deeper Maths, Science, English and reasoning skills with personalised Olympiad preparation classes, structured practice and verified tutors.",https://www.tutorservices.in/competitive-exams/olympiad-preparation,29,10,WebPage|BreadcrumbList|ListItem|Service|Country|EducationalAudience|ServiceChannel|Place|FAQPage|Question|Answer,5
/computer-courses,computer-courses.html,Computer Courses for Students | Practical Digital Skills,"Computer Courses That Turn Technology into a Confident, Useful Skill","Learn practical computer skills, MS Office, internet safety, coding basics, Python and digital productivity through beginner-friendly computer courses.",https://www.tutorservices.in/computer-courses,23,10,Organization|LocalBusiness|EducationalOrganization|ImageObject|Person|PostalAddress|Country|WebSite|WebPage|BreadcrumbList|ListItem|Service|EducationalAudience|Audience|FAQPage|Question|Answer,6
/contact,contact.html,Contact TutorServices | Request Tuition Support India,Let us help you find the right tutor.,"Contact TutorServices by phone, email, WhatsApp or enquiry form to request a tutor, book a free demo or receive registration assistance today.",https://www.tutorservices.in/contact,20,3,Organization|LocalBusiness|EducationalOrganization|ImageObject|Person|PostalAddress|Country|City|ContactPoint|WebSite|ContactPage|BreadcrumbList|ListItem|FAQPage|Question|Answer,4
/courses,courses.html,Subject Tutors in India | Academic & Skill Courses,Find the right subject tutor faster.,"Explore tutors for mathematics, science, languages, commerce, computer science, coding and skill-based courses for students across India today.",https://www.tutorservices.in/courses,30,3,Organization|LocalBusiness|EducationalOrganization|ImageObject|Person|PostalAddress|Country|City|ContactPoint|WebSite|CollectionPage|BreadcrumbList|ListItem|FAQPage|Question|Answer,9
/cuet-english-preparation-class-12-students,cuet-english-preparation-class-12-students.html,CUET English Preparation: A Practical TutorServices Guide,CUET English Preparation: A Practical TutorServices Guide,"Looking for CUET English Preparation? Learn how TutorServices helps parents choose suitable home and online tutors with practical, personalised support.",https://www.tutorservices.in/cuet-english-preparation-class-12-students,14,10,Organization|ImageObject|WebSite|WebPage|BreadcrumbList|ListItem|Article|FAQPage|Question|Answer,5
/editorial-policy,editorial-policy.html,TutorServices Editorial Policy & Content Standards,TutorServices Editorial Policy,"Read the TutorServices Editorial Policy covering educational content goals, accuracy, originality, AI assistance, updates, corrections and reader feedback.",https://www.tutorservices.in/editorial-policy,20,0,Organization|EducationalOrganization|ImageObject|Person|WebPage|BreadcrumbList|ListItem,3
/exam-preparation,exam-preparation.html,Exam Preparation Tuition | Board & Entrance Exams India,"Structured tuition for school, board and foundation exams.","Get structured tuition for school tests, Class 10 and 12 boards, competitive foundations, revision, mock tests and personalised exam planning.",https://www.tutorservices.in/exam-preparation,17,3,Organization|LocalBusiness|EducationalOrganization|ImageObject|Person|PostalAddress|Country|City|ContactPoint|WebSite|WebPage|BreadcrumbList|ListItem|Service|FAQPage|Question|Answer,10
/frequently-asked-questions,frequently-asked-questions.html,"TutorServices FAQs for Students, Parents and Tutors",TutorServices Frequently Asked Questions,"Find clear answers about TutorServices tutor matching, fees, home and online tuition, student enquiries, tutor registration, subjects, boards and locations.",https://www.tutorservices.in/frequently-asked-questions,23,0,Organization|EducationalOrganization|ImageObject|Person|WebPage|BreadcrumbList|ListItem,11
/google4e98645dcf787467,google4e98645dcf787467.html,,,,,0,0,,0
/group-tuition,group-tuition.html,Group Tuition in India | Small-Group Academic Classes,"Group Tuition for Collaborative, Structured and Affordable Learning","Find small-group tuition in India with verified tutors, interactive lessons, peer learning, regular assessments and affordable academic support.",https://www.tutorservices.in/group-tuition,29,10,Organization|LocalBusiness|EducationalOrganization|ImageObject|Person|PostalAddress|Country|WebSite|WebPage|BreadcrumbList|ListItem|Service|EducationalAudience|Audience|FAQPage|Question|Answer,6
/hobby-classes,hobby-classes.html,Hobby Classes for Children | Creative Kids Learning,Hobby Classes for Children That Develop Creativity and Life Skills,"Find creative hobby classes for children, including art, music, dance, crafts, speaking, chess and personality development with qualified instructors.",https://www.tutorservices.in/hobby-classes,22,10,Organization|LocalBusiness|EducationalOrganization|ImageObject|Person|PostalAddress|Country|WebSite|WebPage|BreadcrumbList|ListItem|Service|EducationalAudience|Audience|FAQPage|Question|Answer,6
/home-tuition-fees,home-tuition-fees.html,Home Tuition Fees in India | Tutor Cost Guide,Home Tuition Fees: What Affects the Cost?,"Understand home tuition fees, private tutor costs and the factors that affect pricing. Share your class, subject, mode and budget with TutorServices.",https://www.tutorservices.in/home-tuition-fees,24,8,WebPage|BreadcrumbList|ListItem|Service|Country|EducationalAudience|FAQPage|Question|Answer,7
/home-tuition-in-delhi-parent-guide,home-tuition-in-delhi-parent-guide.html,Delhi Home Tuition Guide | Find Tutors with TutorServices,Home Tuition in Delhi: A Practical Parent Guide,"Looking for Home Tuition in Delhi? Read this local TutorServices guide for parents comparing home tutors, private tutors, subjects, classes and online tuition in Delhi.",https://www.tutorservices.in/home-tuition-in-delhi-parent-guide,35,6,Organization|ImageObject|WebPage|BreadcrumbList|ListItem|BlogPosting|FAQPage|Question|Answer,5
/home-tuition-in-greater-noida-guide,home-tuition-in-greater-noida-guide.html,Greater Noida Home Tuition Guide | Find Tutors with TutorServices,Home Tuition in Greater Noida: A Practical Parent Guide,"Looking for Home Tuition in Greater Noida? Read this local TutorServices guide for parents comparing home tutors, private tutors, subjects, classes and online tuition in Greater Noida.",https://www.tutorservices.in/home-tuition-in-greater-noida-guide,33,6,Organization|ImageObject|WebPage|BreadcrumbList|ListItem|BlogPosting|FAQPage|Question|Answer,5
/home-tuition-in-gurugram-parent-guide,home-tuition-in-gurugram-parent-guide.html,Gurugram Home Tuition Guide | Find Tutors with TutorServices,Home Tuition in Gurugram: A Practical Parent Guide,"Looking for Home Tuition in Gurugram? Read this local TutorServices guide for parents comparing home tutors, private tutors, subjects, classes and online tuition in Gurugram.",https://www.tutorservices.in/home-tuition-in-gurugram-parent-guide,31,6,Organization|ImageObject|WebPage|BreadcrumbList|ListItem|BlogPosting|FAQPage|Question|Answer,5
/home-tuition-in-noida-parent-guide,home-tuition-in-noida-parent-guide.html,Noida Home Tuition Guide | Find Tutors with TutorServices,Home Tuition in Noida: A Practical Parent Guide,"Looking for Home Tuition in Noida? Read this local TutorServices guide for parents comparing home tutors, private tutors, subjects, classes and online tuition in Noida.",https://www.tutorservices.in/home-tuition-in-noida-parent-guide,31,6,Organization|ImageObject|WebPage|BreadcrumbList|ListItem|BlogPosting|FAQPage|Question|Answer,5
/home-tuition-in-noida-sector-137,home-tuition-in-noida-sector-137.html,Noida Sector 137 Home Tuition Guide | Find Tutors with TutorServices,Home Tuition in Noida Sector 137: A Practical Parent Guide,"Looking for Home Tuition in Noida Sector 137? Read this local TutorServices guide for parents comparing home tutors, private tutors, subjects, classes and online tuition in Noida Sector 137.",https://www.tutorservices.in/home-tuition-in-noida-sector-137,31,6,Organization|ImageObject|WebPage|BreadcrumbList|ListItem|BlogPosting|FAQPage|Question|Answer,5
/home-tuition-in-south-delhi-guide,home-tuition-in-south-delhi-guide.html,South Delhi Home Tuition Guide | Find Tutors with TutorServices,Home Tuition in South Delhi: A Practical Parent Guide,"Looking for Home Tuition in South Delhi? Read this local TutorServices guide for parents comparing home tutors, private tutors, subjects, classes and online tuition in South Delhi.",https://www.tutorservices.in/home-tuition-in-south-delhi-guide,32,6,Organization|ImageObject|WebPage|BreadcrumbList|ListItem|BlogPosting|FAQPage|Question|Answer,5
/home-tuition-on-golf-course-road-gurugram,home-tuition-on-golf-course-road-gurugram.html,"Golf Course Road, Gurugram Home Tuition Guide | Find Tutors with TutorServices",Home Tuition on Golf Course Road Gurugram: A Practical Parent Guide,"Looking for Home Tuition on Golf Course Road Gurugram? Read this local TutorServices guide for parents comparing home tutors, private tutors, subjects, classes and online tuition in Golf Course Road, Gurugram.",https://www.tutorservices.in/home-tuition-on-golf-course-road-gurugram,33,6,Organization|ImageObject|WebPage|BreadcrumbList|ListItem|BlogPosting|FAQPage|Question|Answer,5
/home-tuition,home-tuition.html,Home Tuition in India | Verified Personal Tutors Near You,Personalised home tuition for every class and subject.,"Find verified home tutors for Class 1 to 12, CBSE, ICSE and State Boards. Request personalised tuition by subject, location and preferred timing.",https://www.tutorservices.in/home-tuition,30,3,Organization|LocalBusiness|EducationalOrganization|ImageObject|Person|PostalAddress|Country|City|ContactPoint|WebSite|WebPage|BreadcrumbList|ListItem|Service|FAQPage|Question|Answer,10
/home-tutor-in-dlf-phase-2-gurugram,home-tutor-in-dlf-phase-2-gurugram.html,"DLF Phase 2, Gurugram Home Tuition Guide | Find Tutors with TutorServices",Home Tutor in DLF Phase 2 Gurugram: A Practical Parent Guide,"Looking for Home Tutor in DLF Phase 2 Gurugram? Read this local TutorServices guide for parents comparing home tutors, private tutors, subjects, classes and online tuition in DLF Phase 2, Gurugram.",https://www.tutorservices.in/home-tutor-in-dlf-phase-2-gurugram,31,6,Organization|ImageObject|WebPage|BreadcrumbList|ListItem|BlogPosting|FAQPage|Question|Answer,5
/home-tutor-in-dwarka-parent-checklist,home-tutor-in-dwarka-parent-checklist.html,Dwarka Home Tuition Guide | Find Tutors with TutorServices,Home Tutor in Dwarka: A Practical Parent Guide,"Looking for Home Tutor in Dwarka? Read this local TutorServices guide for parents comparing home tutors, private tutors, subjects, classes and online tuition in Dwarka.",https://www.tutorservices.in/home-tutor-in-dwarka-parent-checklist,33,6,Organization|ImageObject|WebPage|BreadcrumbList|ListItem|BlogPosting|FAQPage|Question|Answer,5
/home-tutor-in-greater-noida-west,home-tutor-in-greater-noida-west.html,Greater Noida West Home Tuition Guide | Find Tutors with TutorServices,Home Tutor in Greater Noida West: A Practical Parent Guide,"Looking for Home Tutor in Greater Noida West? Read this local TutorServices guide for parents comparing home tutors, private tutors, subjects, classes and online tuition in Greater Noida West.",https://www.tutorservices.in/home-tutor-in-greater-noida-west,33,6,Organization|ImageObject|WebPage|BreadcrumbList|ListItem|BlogPosting|FAQPage|Question|Answer,5
/home-tutor-in-noida-sector-62,home-tutor-in-noida-sector-62.html,Noida Sector 62 Home Tuition Guide | Find Tutors with TutorServices,Home Tutor in Noida Sector 62: A Practical Parent Guide,"Looking for Home Tutor in Noida Sector 62? Read this local TutorServices guide for parents comparing home tutors, private tutors, subjects, classes and online tuition in Noida Sector 62.",https://www.tutorservices.in/home-tutor-in-noida-sector-62,32,6,Organization|ImageObject|WebPage|BreadcrumbList|ListItem|BlogPosting|FAQPage|Question|Answer,5
/home-tutor-near-me-cbse-students,home-tutor-near-me-cbse-students.html,Home Tutor Near Me for CBSE Students | Tutorservices,Home Tutor Near Me for CBSE Students: A Complete Guide for Parents,"Looking for a home tutor near you for a CBSE student? Learn the benefits, compare learning modes and choose suitable tuition support with Tutorservices.",https://www.tutorservices.in/home-tutor-near-me-cbse-students,34,8,Organization|ImageObject|WebSite|WebPage|BreadcrumbList|ListItem|Article|FAQPage|Question|Answer,6
/how-we-verify-tutors,how-we-verify-tutors.html,Tutor Verification Process and Standards | TutorServices,How the Tutor Verification Process Works at TutorServices,"Learn how TutorServices reviews tutor applications, qualifications, experience, subjects, availability and feedback before relevant student matching.",https://www.tutorservices.in/how-we-verify-tutors,20,10,Organization|EducationalOrganization|ImageObject|Person|WebPage|BreadcrumbList|ListItem|FAQPage|Question|Answer,7
/,index.html,"TutorServices | Home Tutors, Online Tuition & Private Tutors",India's Trusted Home Tuition Bureau,"Find verified home tutors, private tutors and online tuition for Class 1 to 12, major boards, subjects, exams, spoken English and computer courses across India.",https://www.tutorservices.in/,27,8,Organization|LocalBusiness|EducationalOrganization|ImageObject|AggregateRating|Person|PostalAddress|Country|City|ContactPoint|WebSite|WebPage|FAQPage|Question|Answer|Review,12
/languages,languages.html,Language Classes and Communication Skills | TutorServices,"Language Classes for Better Fluency, Grammar and Communication","Find personalised language classes for spoken English, grammar, Hindi and communication skills through verified home and online TutorServices tutors.",https://www.tutorservices.in/languages,23,10,Organization|LocalBusiness|EducationalOrganization|ImageObject|PostalAddress|Country|Person|CollectionPage|BreadcrumbList|ListItem|Service|Audience|ItemList|FAQPage|Question|Answer,6
/languages/english-grammar-classes,languages/english-grammar-classes.html,English Grammar Classes and Tutors | TutorServices,English Grammar Classes for Clear Writing and Confident Communication,"Build grammar, sentence construction and writing accuracy through personalised English grammar classes with verified TutorServices tutors across India.",https://www.tutorservices.in/languages/english-grammar-classes,22,10,Organization|LocalBusiness|EducationalOrganization|ImageObject|PostalAddress|Country|Person|WebPage|BreadcrumbList|ListItem|Course|Audience|Service|ServiceChannel|Place|FAQPage|Question|Answer,5
/languages/spoken-english-classes,languages/spoken-english-classes.html,Spoken English Classes for Fluency | TutorServices,Spoken English Classes for Confident Everyday Communication,"Build English fluency, pronunciation and communication confidence through personalised spoken English classes with verified TutorServices tutors in India.",https://www.tutorservices.in/languages/spoken-english-classes,22,10,Organization|LocalBusiness|EducationalOrganization|ImageObject|PostalAddress|Country|Person|WebPage|BreadcrumbList|ListItem|Course|Audience|Service|ServiceChannel|Place|FAQPage|Question|Answer,5
/locations,locations.html,Home Tuition Areas in Delhi & Online Across India | Tutors,Tuition support across Delhi and online throughout India.,"Find TutorServices home tuition support across Delhi areas and request live online tutors anywhere in India by class, subject, board and timing.",https://www.tutorservices.in/locations,22,3,Organization|LocalBusiness|EducationalOrganization|ImageObject|Person|PostalAddress|Country|City|ContactPoint|WebSite|CollectionPage|BreadcrumbList|ListItem|FAQPage|Question|Answer,6
